City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
551,kargasok,59.0556,80.8572,16.43,75,86,2.64,RU,1723037435
552,lata,40.1629,-8.3327,29.72,54,20,5.32,PT,1723037436
553,ketchikan,55.3422,-131.6461,14.26,94,100,2.06,US,1723037439
554,puerto colombia,10.9878,-74.9547,26.05,80,100,3.06,CO,1723037440
555,cambria,35.5641,-121.0808,18.41,70,26,2.87,US,1723037441
556,mucumpiz,8.4167,-71.1333,20.3,62,63,2.6,VE,1723037442
557,tindouf,27.6711,-8.1474,45.25,7,0,1.54,DZ,1723037444
558,inderbor,48.55,51.7833,32.96,27,33,5.95,KZ,1723037445
559,kharp,66.8014,65.8081,17.12,52,71,2.44,RU,1723037446
560,aigues-mortes,43.5698,4.1871,32.79,45,0,3.6,FR,1723037447
561,ust'-kulom,61.6864,53.6902,14.84,67,96,2.4,RU,1723037452
562,touros,-5.1989,-35.4608,27.11,71,61,8.12,BR,1723037158
563,ar ruways,24.1103,52.7306,35.83,45,100,4.88,AE,1723037454
564,san rafael,-34.6177,-68.3301,5.4,42,47,1.86,AR,1723037078
565,darwin,-12.4611,130.8418,22.99,68,0,1.54,AU,1723037456
566,hastings,50.8552,0.5729,21.66,70,20,7.85,GB,1723037458
567,san nicolo,46.463,10.41,18.43,54,100,2.82,IT,1723037459
568,xianyang,34.3378,108.7026,23.58,94,40,2.0,CN,1723037460
569,sindangan,8.2376,122.9974,26.7,89,100,0.75,PH,1723037461
570,praia,14.9215,-23.5087,30.3,58,40,6.69,CV,1723037462
571,dalmau,26.0667,81.0333,28.86,71,97,2.03,IN,1723037464
572,san fernando,15.0286,120.6898,27.85,87,9,2.33,PH,1723037465
